ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2016-05-25 00:00:00,1d,XBTUSD,443.32,449.58,443.32,447.01,1136596,118232,0,0,0,0,0,0,118232
2016-05-26 00:00:00,1d,XBTUSD,447,453.82,445,453.75,1240088,246360,0,0,0,0,0,0,246360
2016-05-27 00:00:00,1d,XBTUSD,453.75,485.95,453.75,474.55,3907916,-33744,0,0,0,-75329,-49734,-32347,123666
2016-05-28 00:00:00,1d,XBTUSD,474.52,544.95,473.44,531,7109386,-60816,0,0,0,97413,-46404,-113639,1814
2016-05-29 00:00:00,1d,XBTUSD,530.67,571,512.49,536.74,5516528,-1211834,0,0,0,-158011,-107449,-107615,-838759
2016-05-30 00:00:00,1d,XBTUSD,537.3,562,531.01,545.03,2986123,-449265,0,0,0,0,0,-146531,-302734
2016-05-31 00:00:00,1d,XBTUSD,543,552.48,520,537.01,4405265,-476161,0,0,100202,0,0,17323,-593686
2016-06-01 00:00:00,1d,XBTUSD,537.1,550.5,527.03,542,2706525,84425,0,0,0,0,0,-26169,110594
2016-06-02 00:00:00,1d,XBTUSD,541.65,546.36,533.52,542.02,1279430,-91760,0,0,0,0,0,0,-91760
2016-06-03 00:00:00,1d,XBTUSD,541.91,581.53,539.23,574.02,4368529,-354007,0,-211594,0,0,-85861,-167551,110999
2016-06-04 00:00:00,1d,XBTUSD,574.65,596.2,565.17,574.26,3878502,-704126,0,-167703,0,0,-83229,-156672,-296522
2016-06-05 00:00:00,1d,XBTUSD,574.99,590.89,569.41,578.75,2155101,-316607,0,0,0,0,0,-24253,-292354
2016-06-06 00:00:00,1d,XBTUSD,577.87,596.59,577.43,591.59,2610125,186477,0,0,0,0,0,7458,179019
2016-06-07 00:00:00,1d,XBTUSD,591.71,600.99,571.01,579.01,3652548,-764368,0,0,0,0,-43592,-44074,-676702
2016-06-08 00:00:00,1d,XBTUSD,579.01,589.6,572.79,586.86,3103739,57201,0,0,0,-66666,-31605,35170,120302
2016-06-09 00:00:00,1d,XBTUSD,586.9,586.91,571.5,578.95,3180193,-874485,0,0,0,-50000,-38996,-75743,-709746
2016-06-10 00:00:00,1d,XBTUSD,579.53,585.59,575,582.28,2654189,-6473,0,0,0,50000,0,16638,-73111
2016-06-11 00:00:00,1d,XBTUSD,582.2,627.89,581.95,624.96,2849180,121706,0,-173740,0,-100000,185701,-78067,287812
2016-06-12 00:00:00,1d,XBTUSD,624.98,702.5,616.69,682.99,11119434,291680,-473920,247210,-320144,179538,196212,61404,401380
2016-06-13 00:00:00,1d,XBTUSD,683.78,749,673.37,709.68,10063692,38662,461343,0,-109622,-10750,-171278,-365555,234524
2016-06-14 00:00:00,1d,XBTUSD,707.86,707.86,659,684,6955671,64945,0,0,0,141416,203495,245299,-525265
2016-06-15 00:00:00,1d,XBTUSD,686.27,700,670.51,691.34,4030472,129458,0,0,0,0,30819,93133,5506
2016-06-16 00:00:00,1d,XBTUSD,696.84,788,696.8,773.68,10178172,-733616,0,-222222,0,-188798,-192830,-147536,17770
2016-06-17 00:00:00,1d,XBTUSD,774.63,782.89,708.96,748.78,9244522,-66660,403233,0,0,52000,-16938,29742,-534697
2016-06-18 00:00:00,1d,XBTUSD,750.77,791.68,721.51,753.9,8891191,936141,0,0,461707,-50000,-65133,310294,279273
2016-06-19 00:00:00,1d,XBTUSD,754.71,778,741.19,765.91,5381788,320392,0,0,0,50000,192233,18792,59367
2016-06-20 00:00:00,1d,XBTUSD,766.25,767,723.06,737,7213672,-656728,0,-198500,301611,-50000,4049,-18655,-695233
